ID_author;liwc_1st_pers;liwc_2nd_pers;liwc_3rd_pers;liwc_achievement;liwc_adverbs;liwc_affective_processes;liwc_anger;liwc_anxiety;liwc_articles_article;liwc_assent;liwc_auxiliary_verbs;liwc_biological;liwc_body;liwc_causation;liwc_certainty;liwc_cognitive;liwc_common_verbs;liwc_conjunctions;liwc_death;liwc_discrepancy;liwc_exclusive;liwc_family;liwc_feel;liwc_fillers;liwc_friends;liwc_future_tense;liwc_health;liwc_hear;liwc_home;liwc_humans;liwc_impersonal_pronouns;liwc_inclusive;liwc_ingestion;liwc_inhibition;liwc_insight;liwc_leisure;liwc_money;liwc_motion;liwc_negations;liwc_negative_emotion;liwc_nonfluencies;liwc_numbers;liwc_past_tense;liwc_perceptual_processes;liwc_personal_pronouns;liwc_positive_emotion;liwc_prepositions;liwc_present_tense;liwc_quantifiers;liwc_relativity;liwc_religion;liwc_sadness;liwc_see;liwc_sexual;liwc_social_processes;liwc_space;liwc_swear_words;liwc_tentative;liwc_time;liwc_total_functional;liwc_total_pronouns;liwc_work
298;0;3;0;5;8;8;2;0;19;1;28;5;1;2;2;37;50;24;0;8;6;0;1;0;0;2;4;0;0;2;16;13;1;2;3;2;0;2;7;5;0;1;5;1;21;2;43;38;3;38;0;2;0;0;11;17;1;5;15;154;37;4
320;0;0;0;1;7;1;0;0;3;0;6;1;0;0;0;7;16;6;0;2;1;0;0;0;0;2;1;0;0;0;6;4;0;0;1;0;1;3;3;0;1;0;0;0;6;1;13;13;0;17;0;0;0;0;0;9;0;1;5;44;12;2
320;0;1;0;1;0;0;0;0;0;0;3;0;0;0;0;2;5;1;0;0;0;0;0;0;0;0;0;0;0;1;2;1;0;0;1;0;0;0;1;0;0;0;0;0;1;0;2;5;0;1;0;0;0;0;2;1;0;0;0;9;3;3
426;0;5;3;3;21;21;2;0;10;2;27;5;2;3;5;74;65;31;0;12;16;0;3;5;0;3;0;5;0;5;15;15;0;3;21;1;0;5;6;2;0;3;3;9;45;19;35;56;10;33;0;0;0;3;24;16;1;7;14;188;60;2
426;0;1;0;2;7;5;1;0;8;0;9;1;0;1;0;26;21;16;2;1;5;0;1;0;0;0;1;0;0;1;12;10;0;3;4;0;2;1;2;2;0;1;5;1;14;3;28;14;5;25;0;0;0;0;4;8;0;4;16;94;26;5
447;0;0;0;2;2;4;0;0;1;0;7;2;0;1;0;13;13;9;0;3;4;0;1;1;0;1;2;0;0;0;5;2;0;3;3;0;1;0;0;1;0;0;1;3;7;2;10;10;3;6;0;0;1;0;0;2;0;4;3;41;12;1
447;0;1;0;0;1;0;0;0;0;0;1;0;0;1;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;2;0;0;0;0;4;1;0
485;0;0;3;2;10;11;0;0;9;0;26;11;1;2;1;44;51;18;4;9;5;0;2;2;1;1;9;1;0;0;11;17;0;3;7;0;0;6;6;4;0;1;8;4;29;7;25;39;1;22;0;3;0;1;12;9;0;4;7;126;40;3
485;0;0;0;2;3;9;0;0;9;0;14;5;0;1;0;24;22;11;1;2;7;0;3;2;0;0;5;0;0;0;1;9;0;1;4;0;0;1;5;5;0;1;3;5;12;3;16;15;3;20;0;5;1;0;3;9;0;2;12;70;13;0
514;0;2;0;2;5;6;0;0;11;0;9;4;1;1;1;16;15;8;0;2;6;0;0;1;0;1;3;0;1;0;4;4;0;0;1;0;1;1;2;2;0;2;1;0;7;4;13;10;2;22;0;1;0;0;4;8;0;4;12;60;11;2
514;1;0;0;0;0;1;0;0;6;0;4;0;0;0;0;4;7;2;0;0;0;0;0;0;0;0;0;1;0;0;2;2;0;0;1;0;0;0;0;0;0;3;5;1;3;1;3;2;0;8;0;0;0;0;3;1;0;0;7;23;5;0
