ID_author;automated_readability_index;coleman_liau_index;flesch_kincaid_grade_level;flesch_reading_ease;gulpease_index;gunning_fog_index;lix;smog_index;wiener_sachtextformel
1231;3,00193E+15;4,19E+15;3,93E+15;9,05E+15;7,38E+15;6,91E+16;2,53E+15;73011;9,90E+15
1237;4,35559E+15;5,19E+15;6,19E+15;7,69E+15;7,03E+14;1,02E+15;3,61E+14;1,03E+16;3,91E+15
1237;4,95888E+15;7,63E+14;4,66E+15;8,11E+15;7,21E+15;7,57E+16;3,04E+16;8,47E+15;2,59E+14
1248;4,37962E+15;5,48E+15;5,69E+15;7,96E+14;7,04E+15;8,81E+15;2,83E+16;9,15E+15;2,31E+16
1248;6,42783E+15;7,10E+15;7,13E+15;7,26E+13;6,56E+15;9,13E+15;2,90E+13;9,08E+15;2,48E+15
1272;1,62038E+16;1,41E+16;1,31E+16;4,67E+15;4,80E+15;1,53E+16;4,57E+13;1,34E+16;6,08E+15
1272;4,42926E+15;5,23E+16;5,13E+15;8,47E+15;7,01E+15;8,31E+15;2,79E+14;8,50E+13;1,81E+16
1297;1,50967E+16;7,51E+15;1,44E+16;8,99E+15;1,48E+16;2,89E+15;3,33E+16;5,15E+15;2,12E+16
1297;-7,62222E+15;1,15E+16;9,38E+14;9,80E+15;1,06E+16;3,64E+15;2,02E+16;5,68E+16;-1,20E+16
1303;3,82939E+15;6,43E+15;4,65E+16;8,01E+15;7,54E+14;8125;2,86E+15;8,93E+15;2,68E+15
1303;8,80155E+15;1,08E+16;7,77E+15;6,52E+15;6,09E+15;1,13E+16;3,69E+15;1,12E+15;4,81E+16
1327;5,12125E+15;5,55E+15;5,61E+16;8,32E+15;6,84E+15;9,07E+15;2,85E+16;9,06E+15;2,09E+15
1327;1,75609E+16;4,05E+15;4,05E+15;8,33E+14;8,11E+15;8,00E+15;2,35E+16;8,84E+15;1,83E+16
1337;3,18479E+16;5,08E+16;4,68E+15;8240875;7,47E+15;8,10E+15;2,98E+16;8,84E+15;2,51E+15
1337;5,1672E+15;7,23E+15;5,33E+15;7,91E+15;698;90;325;9,52E+15;3,19E+16
1363;2,62802E+16;4,75E+15;4,27E+16;8,37E+15;7,71E+15;7,50E+15;2,84E+15;8,42E+15;2,23E+16
1363;3,26796E+16;6,32E+16;4,54E+15;7,30E+15;940;8,68E+15;3,15E+15;8,63E+15;4,38E+15
1381;3,94613E+15;5,37E+16;5,05E+15;8,24E+15;7,18E+15;7,56E+15;3,02E+15;8,08E+14;2,14E+16
1381;4,26828E+14;2,71E+16;3,10E+16;8,79E+15;8,71E+15;5,41E+15;2,20E+16;6,87E+15;7,83E+15
1393;2,8094E+16;5,35E+15;4,18E+15;8,24E+15;7,87E+15;7,32E+15;2,66E+16;8,34E+15;2,09E+13
1393;3,02358E+15;4,86E+16;4,31E+15;8,51E+15;7,51E+15;8,11E+15;2,64E+16;8,84E+15;2,00E+16
1426;62925;5,05E+15;7,17E+15;7,86E+15;6,63E+15;1,01E+15;3,17E+16;9,19E+15;2,50E+15
1426;1,99873E+16;3,34E+16;3,81E+15;8,98E+15;7,66E+15;6,71E+16;2,19E+16;7,35E+15;6,17E+15
1434;3,78143E+16;6,30E+15;5,12E+15;7,70E+15;7,52E+15;8,01E+15;3,09E+15;8,84E+15;3,01E+16
1434;3,26822E+16;3,82E+14;4,96E+15;8,58E+15;7,26E+14;9,29E+15;2,49E+15;9,52E+15;1,67E+15
1446;4,92213E+14;7,08E+16;6,15E+15;7,26E+15;7,06E+14;9,56E+15;2,98E+16;9,96E+15;3,34E+16
1446;8,07654E+15;1,06E+16;8,69E+15;5,59E+15;6,32E+15;1,34E+16;4,51E+16;1,25E+15;7,37E+15
1452;1,71339E+16;3,13E+16;3,14E+16;9,39E+15;7,76E+15;6,09E+15;2,30E+16;6,68E+16;3,99E+15
1452;8,83681E+15;2,36E+16;1,38E+15;9,78E+15;9321875;4,09E+15;2,12E+15;5,82E+14;3,46E+15
1466;4,00414E+15;7,09E+15;5,24E+15;7,32E+15;7,84E+15;9,30E+15;3,67E+16;9,57E+15;4,74E+15
1466;7,69091E+15;2,36E+16;2,29E+15;9,83E+14;8,08E+15;5,61E+15;1,71E+16;6,43E+14;-5,37E+14
1493;3,22965E+14;5,57E+16;4,84E+15;7,93E+15;7,62E+15;7,58E+15;2,69E+15;8,50E+15;2,23E+15
1493;2,63287E+16;4,12E+15;4,38E+15;8,58E+15;7,53E+15;7,47E+16;2,27E+15;8,17E+15;1,14E+16
1496;317625;6,23E+15;4,12E+15;7,97E+15;8275;945;23625;9,52E+15;2,96E+16
1496;2081875;4,93E+15;3,87E+16;787265;9275;756;34525;8,24E+15;4,01E+15
1535;4,3815E+14;7,48E+15;4,54E+16;7,88E+15;7,67E+15;7,53E+15;3,14E+16;8,50E+15;3,02E+16
1535;1,94989E+16;4,14E+15;3,89E+16;8,52E+15;7,97E+15;6,68E+15;2,33E+16;7,79E+15;1,30E+16
1556;7,68225E+15;3,32E+15;2,43E+16;8,98E+15;9,33E+15;5,82E+15;2,23E+16;7,27E+15;1,11E+16
1556;3,70872E+15;5,19E+16;5,42E+16;7,94E+15;7,25E+14;8,96E+15;2,92E+15;9,44E+15;2,68E+16
1634;2,17785E+14;3,83E+16;3,53E+16;9,07E+15;7,69E+15;6,82E+15;2,20E+15;7,65E+16;7,39E+15
1634;3,05639E+16;5,37E+15;4,05E+16;8,48E+15;7,66E+15;6,93E+14;2,54E+15;7,96E+15;1,58E+15
1667;1,08157E+16;2,83E+16;3,47E+15;8,94E+15;8,05E+15;7,24E+15;2,40E+14;8,21E+14;1,33E+15
1667;3,34276E+15;5,06E+14;4,12E+16;8,74E+15;7,39E+15;8,17E+14;2,45E+16;8,84E+15;1,60E+16
1;4,72205E+16;7,85E+16;5,50E+16;6,47E+15;9,80E+15;7,66E+15;3,46E+15;7,96E+15;4,55E+15
