ID_author;economic_stress_total;isolation_total;substance_use_total;guns_total;domestic_stress_total;suicidality_total;punctuation
197;2;0;0;0;0;0;120
200;0;0;0;0;0;0;180
201;0;0;0;0;0;0;60
202;1;0;1;0;0;0;490
203;0;0;0;0;0;0;360
204;0;2;0;0;2;1;100
205;0;0;0;0;0;0;310
206;1;0;0;0;0;0;110
207;0;0;0;0;0;0;140
208;2;0;1;0;0;0;310
209;0;0;1;0;0;0;130
210;3;0;3;0;0;0;840
211;0;0;2;0;0;1;260
212;0;0;0;0;0;0;70
213;0;0;0;0;0;0;20
214;0;0;1;0;0;0;450
215;0;0;0;0;0;0;0
216;0;0;0;0;0;0;120
217;1;0;0;0;0;0;100
218;2;0;1;0;0;0;200
219;0;0;0;0;0;0;60
220;0;0;3;0;0;0;240
221;0;0;1;0;0;0;230
222;1;0;0;0;0;0;170
223;6;0;0;0;0;0;610
224;0;0;2;0;0;0;280
225;0;0;0;0;0;0;60
226;0;0;0;0;0;0;90
227;0;0;0;0;0;0;80
230;0;0;0;0;0;0;220
231;0;0;0;0;0;0;210
232;0;0;0;0;0;0;140
233;0;1;1;0;0;0;180
234;0;0;0;0;0;0;60
237;0;0;0;0;0;1;190
238;0;0;0;0;0;0;140
239;0;0;1;0;0;0;200
240;1;0;0;0;0;0;80
241;1;0;0;0;0;0;180
242;2;0;0;0;1;0;190
243;6;1;0;0;0;0;820
244;1;0;0;0;0;0;230
245;3;0;3;0;0;1;1640
246;0;0;0;0;0;0;220
247;0;0;0;0;0;0;380
248;0;0;0;0;0;0;60
249;0;0;0;0;0;0;70
250;0;0;0;0;0;0;40
251;1;0;0;0;0;1;150
252;0;0;0;0;0;0;110
253;0;0;0;0;0;0;50
256;2;0;0;0;0;0;370
257;0;0;1;0;0;0;140
258;0;0;0;0;0;0;120
259;1;0;5;0;0;0;330
260;0;0;1;0;0;0;50
261;0;0;0;0;0;0;130
262;0;0;1;0;0;0;260
263;0;0;0;0;0;0;310
264;0;0;0;0;0;0;250
265;0;0;0;0;0;0;90
266;0;0;0;0;0;0;40
267;0;0;0;0;0;0;40
268;1;0;1;0;0;1;420
269;0;0;4;0;0;0;320
270;1;0;1;0;0;0;140
271;0;0;0;0;2;0;140
272;0;0;0;0;0;0;10
273;0;0;1;0;0;0;230
274;2;0;0;0;0;0;180
279;0;0;0;0;0;0;100
280;0;0;0;0;0;0;240
281;0;0;1;0;0;0;90
282;1;0;0;0;0;0;210
285;0;0;0;0;0;0;110
286;0;0;0;0;0;0;260
287;0;0;4;0;1;1;290
288;0;0;0;0;0;0;120
289;0;0;0;0;0;0;60
290;0;0;0;0;0;2;190
291;0;0;0;0;0;0;120
292;0;1;0;0;0;0;120
293;0;0;0;1;0;0;150
294;1;0;8;0;0;0;170
295;0;0;0;0;0;0;70
296;1;0;0;0;0;2;610
297;1;3;0;0;0;0;240
300;0;0;0;0;0;0;80
301;2;0;0;0;0;0;200
302;2;0;0;0;0;0;370
303;0;0;0;0;0;0;20
304;1;2;1;0;1;0;1180
305;0;0;0;0;0;0;440
306;1;1;0;0;0;0;230
307;0;0;0;0;0;0;60
308;1;0;0;0;0;0;120
309;0;0;1;0;0;0;60
310;3;1;1;0;0;0;1160
311;0;0;0;0;0;0;140
312;1;0;1;0;0;0;260
313;0;0;0;0;0;0;50
314;0;0;0;0;0;0;50
315;0;0;0;0;0;0;20
316;5;0;0;0;2;0;1000
317;0;0;0;0;0;0;20
318;0;0;0;0;0;0;110
319;1;0;1;0;1;0;270
322;0;0;0;1;0;0;80
323;1;1;0;0;4;0;240
324;0;0;0;0;0;0;190
325;0;0;2;0;0;0;210
326;0;0;1;0;0;0;290
327;0;0;0;0;0;0;30
328;0;0;1;0;0;0;120
329;1;0;1;0;0;0;400
330;0;0;0;0;0;1;60
331;1;0;0;0;0;0;160
332;0;0;0;0;0;0;140
333;0;0;0;0;0;0;190
334;0;1;0;0;0;0;690
335;0;0;0;0;0;0;130
336;0;0;0;0;0;0;90
337;0;4;1;0;0;0;150
338;8;0;0;0;0;0;140
339;1;0;0;0;0;0;240
340;4;0;3;0;0;0;760
341;0;1;0;0;2;0;200
342;4;0;0;0;0;0;160
343;0;0;0;0;0;0;60
344;1;0;0;0;0;0;330
345;0;0;0;0;0;0;80
346;0;0;1;0;0;0;190
347;0;0;0;0;0;0;40
348;1;0;2;0;0;0;50
349;1;0;0;0;0;0;130
350;0;0;0;0;0;0;250
351;0;0;1;0;0;0;150
352;2;1;1;0;0;0;580
353;0;0;0;0;0;0;10
354;0;0;0;0;0;0;20
355;1;0;0;0;0;0;310
356;2;0;0;0;0;0;190
357;0;0;0;0;0;0;230
358;2;0;0;0;0;2;350
359;0;0;0;0;0;0;180
360;0;0;0;0;0;0;390
361;2;0;1;0;0;0;230
362;3;0;2;0;1;0;250
363;0;1;0;0;0;0;180
364;3;0;0;0;0;1;550
365;1;0;0;0;0;1;130
366;1;0;0;0;0;0;80
367;2;0;0;0;4;0;340
368;0;0;0;0;0;0;20
369;1;0;0;0;0;0;610
370;5;0;0;0;0;0;240
371;1;0;0;0;0;0;360
372;1;0;1;0;0;0;170
373;0;0;0;0;0;1;200
374;0;0;0;0;0;0;470
375;0;0;0;0;0;0;70
376;0;0;0;0;0;0;50
377;4;0;0;0;0;0;180
378;0;1;0;0;0;0;280
379;1;1;0;0;0;0;160
380;1;0;0;0;0;0;110
381;0;3;0;0;0;0;410
382;0;0;1;0;0;0;60
383;0;0;0;0;0;0;20
384;0;0;0;0;0;1;160
385;1;0;0;0;0;0;20
386;0;0;0;0;0;0;110
387;1;0;0;0;0;0;240
388;1;1;1;0;0;0;170
389;0;0;0;0;0;0;110
390;1;2;0;0;0;0;220
391;0;0;0;0;0;0;90
392;1;0;0;0;0;0;40
393;1;0;0;0;0;0;50
394;0;0;0;0;0;0;90
395;1;0;1;0;0;2;350
396;0;0;0;0;0;0;10
397;0;0;0;0;0;0;230
398;1;0;1;0;0;0;490
399;0;0;1;0;0;0;100
400;0;0;0;0;0;0;40
401;0;0;0;0;0;1;90
402;1;0;0;0;0;0;90
403;0;0;3;0;0;5;390
404;0;0;0;0;0;0;140
405;0;2;0;0;0;0;320
406;0;0;1;0;0;0;280
407;1;0;1;0;0;0;570
408;2;0;0;0;0;0;150
409;1;0;2;0;0;0;470
410;0;0;0;0;0;0;120
411;0;0;0;0;0;0;90
412;0;0;0;0;0;0;40
413;1;0;0;0;3;0;240
414;1;0;0;0;0;0;50
415;1;0;6;0;0;0;520
416;0;0;1;0;0;0;60
417;0;0;0;0;0;0;50
418;3;0;0;0;0;0;140
419;1;0;1;0;0;0;220
420;2;0;0;0;0;1;240
421;0;0;0;0;0;0;180
422;0;0;0;0;0;0;60
423;2;0;0;0;0;0;200
424;0;0;0;0;0;0;90
425;0;0;0;0;0;0;40
428;0;0;0;0;0;2;120
429;0;0;2;0;0;0;80
430;2;0;0;0;0;0;100
431;7;0;0;0;0;2;280
432;2;0;0;0;0;0;300
433;2;0;0;0;0;0;160
434;0;0;0;0;0;0;40
435;1;0;0;0;0;1;590
436;0;0;3;0;0;0;700
437;0;0;0;0;0;0;290
438;0;0;0;0;0;0;30
439;11;5;4;0;1;0;1410
440;0;0;3;0;0;0;240
441;0;0;0;0;0;0;50
442;0;0;0;0;0;0;110
443;0;0;0;0;0;0;20
444;0;0;0;0;0;0;60
445;3;0;1;0;0;0;260
446;2;0;2;0;0;0;600
449;1;0;2;0;0;0;1630
450;2;0;1;0;0;0;210
451;0;0;0;0;0;0;230
452;0;0;1;0;0;0;150
453;0;0;0;0;0;0;50
454;3;0;0;0;0;0;250
455;0;0;3;0;0;0;510
456;2;0;4;0;0;0;1090
457;0;0;0;0;0;0;70
458;1;0;0;0;0;0;80
459;1;0;0;0;0;0;150
460;4;1;0;0;0;0;150
461;4;0;0;0;0;0;150
462;1;0;0;0;0;0;190
463;1;0;1;0;0;0;270
464;3;0;1;0;0;0;320
465;0;0;0;0;0;1;130
466;0;0;0;0;0;0;470
467;0;1;0;0;0;0;200
468;0;0;0;0;0;0;30
469;0;0;1;0;0;0;240
470;0;0;0;0;0;0;80
471;1;0;1;0;0;0;240
472;0;1;0;0;0;0;310
473;0;1;1;0;0;0;260
474;1;0;0;0;0;0;140
475;1;0;0;0;0;0;120
476;2;0;0;0;0;1;570
477;0;0;0;0;0;0;180
478;0;0;0;0;0;0;100
479;1;0;0;0;0;1;340
480;1;0;0;1;0;0;340
481;1;0;0;0;0;0;170
482;3;0;1;0;1;0;490
483;0;0;0;0;0;0;90
484;0;0;0;0;0;0;120
487;3;0;2;0;0;0;330
488;0;1;1;0;1;0;360
489;0;0;1;0;0;0;20
490;1;0;0;0;0;0;470
491;1;0;0;0;0;0;350
492;0;0;0;0;0;0;60
493;0;0;0;0;0;0;200
494;0;0;0;0;0;0;40
495;0;0;0;0;0;1;160
496;0;0;0;0;0;0;690
497;0;0;1;0;0;2;130
498;0;0;0;0;0;0;30
499;0;0;0;0;0;0;160
500;1;0;0;0;0;0;140
501;2;0;1;0;0;0;340
502;0;0;1;0;0;0;500
503;0;0;1;0;0;0;270
504;0;2;0;0;0;0;160
505;1;0;1;0;0;0;330
506;0;0;0;0;0;0;320
507;0;0;0;0;0;1;190
508;0;0;1;0;0;0;200
509;1;0;0;0;0;0;90
510;3;0;0;0;1;0;790
511;1;0;4;0;0;0;450
512;0;0;1;0;0;0;250
513;0;0;0;0;0;0;20
516;0;0;0;0;0;0;110
517;0;0;0;0;0;0;270
518;0;0;1;0;0;0;20
519;1;0;0;0;1;0;290
520;0;0;0;0;0;0;80
521;0;0;0;0;0;0;40
522;0;0;0;0;0;0;160
523;0;0;0;0;0;1;270
524;0;0;0;0;0;0;90
525;1;0;1;0;0;0;330
526;1;1;1;0;0;0;260
527;0;0;1;0;0;0;80
528;0;0;0;0;0;0;70
529;0;1;0;0;0;4;310
530;1;1;0;0;0;0;50
531;0;0;0;0;0;0;110
532;0;0;1;1;0;1;430
533;0;0;1;0;0;0;90
536;0;0;0;0;0;0;50
537;0;0;3;0;0;0;110
538;1;0;1;0;0;0;250
539;0;1;0;0;0;1;200
540;1;1;0;0;0;0;250
541;0;0;5;0;0;0;220
542;0;0;0;0;0;0;200
543;1;0;9;0;0;0;340
544;0;0;0;0;0;0;70
545;1;0;0;0;0;0;60
546;4;0;1;0;0;1;610
547;0;0;0;0;0;0;430
548;2;0;0;0;0;0;150
549;0;7;0;0;0;0;80
550;0;0;0;0;0;0;90
551;1;0;0;0;0;0;140
552;2;1;0;0;0;0;300
553;0;2;0;0;0;0;40
554;0;0;0;0;0;0;10
555;0;0;3;0;0;1;390
556;0;0;2;0;0;0;170
557;0;0;0;0;0;0;90
558;0;0;0;0;0;0;160
559;0;0;1;0;0;0;120
560;1;0;0;0;0;0;0
561;1;0;3;0;0;0;240
562;4;0;0;0;0;0;330
563;0;0;0;0;0;0;20
564;0;0;0;0;0;0;290
565;2;1;0;0;0;2;320
566;2;0;0;0;0;0;130
567;2;0;0;0;0;0;500
568;1;0;6;0;1;0;470
569;1;0;0;0;0;0;120
570;2;0;1;0;0;0;520
571;1;0;0;0;0;0;50
572;1;0;0;0;0;0;0
573;1;0;0;0;0;0;100
574;1;0;0;0;0;0;130
575;0;0;0;0;0;0;150
576;0;0;1;0;0;0;300
577;0;0;0;0;0;0;170
578;4;1;4;0;0;0;600
579;0;0;1;0;0;1;170
582;0;0;0;0;0;0;60
583;1;0;4;0;0;0;320
584;2;0;4;0;0;0;1150
585;1;0;0;0;0;0;250
586;0;0;0;0;0;0;60
587;0;0;0;0;0;0;70
588;0;0;0;0;0;0;30
589;0;0;0;0;0;0;20
592;1;0;1;0;0;0;310
