ID_author;sent_neg;sent_neu;sent_pos;sent_compound
194;5,20E+16;852;96;4329
195;84;8,19E+15;97;4277
196;111;718;171;9575
197;292;66;48;-9872
200;122;8,01E+15;78;-8524
201;73;8,42E+15;84;1561
202;41;737;222;9987
203;145;7,44E+15;111;-9376
204;201;6,51E+15;1,48E+16;-8769
205;44;8,37E+15;119;9253
206;8,20E+15;81;108;5,38E+15
207;8,80E+15;845;67;-2023
208;275;629;96;-9979
209;104;7,83E+15;113;-736
210;127;78;93;-9604
211;7,40E+15;8,44E+15;8,20E+15;-3313
212;34;902;64;4728
213;191;6,58E+15;151;-3527
214;76;861;63;2632
215;261;644;95;-6597
216;58;855;87;3094
217;32;779;189;959
218;103;813;84;-9112
219;171;6,41E+15;188;-182
220;155;7,29E+15;115;-9346
221;189;745;67;-9372
222;44;769;187;9864
223;105;816;79;-4689
224;139;754;106;-9503
225;279;516;205;1152
226;39;863;98;6966
227;262;521;217;-743
230;8,80E+15;846;66;-7692
231;97;903;0;-8754
232;58;752;19;9189
233;174;7,98E+15;28;-9516
234;77;772;151;2,96E+16
237;157;7,39E+15;104;-9311
238;16;835;5;-9844
239;132;742;126;-5842
240;2,16E+16;752;32;-9721
241;48;928;24;-5492
242;14;738;122;-6922
243;8,90E+15;8,34E+15;77;-7528
244;138;775;86;-8637
245;8,20E+15;802;116;9906
246;173;767;6;-9382
247;159;8,14E+15;26;-9738
248;25;863;112;732
249;274;687;39;-9646
250;53;777;1,69E+16;9318
251;187;6,83E+15;13;-916
252;209;6,56E+15;135;-7151
253;43;8,42E+15;115;6057
256;135;774;91;-9547
257;1,69E+16;619;212;8219
258;2,70E+16;851;122;9161
259;7,20E+15;8,27E+15;1;7699
260;125;821;55;-2732
261;4;848;113;9105
262;151;7,93E+15;56;-8519
263;8,80E+15;8,14E+15;99;-1143
264;7,20E+15;823;105;5996
265;75;711;215;8703
266;62;7,96E+15;142;4019
267;0;843;157;6597
268;155;743;102;-9687
269;277;612;111;-9904
270;153;7,07E+15;14;-6679
271;93;69;217;9165
272;131;758;111;-1027
273;117;8,37E+15;46;-9697
274;7,20E+15;894;34;-8799
279;0;923;77;8229
